habitable_surface,bedrooms_count,post_code,num_facade,target
373.0,4.0,4171,4.0,449000.0
100.0,2.0,1180,2.0,395000.0
232.0,4.0,7700,4.0,399000.0
206.0,3.0,4260,2.0,199000.0
358.0,5.0,1970,3.0,895000.0
173.0,3.0,4020,3.0,315000.0
218.0,4.0,4980,2.0,259000.0
224.0,4.0,9660,2.0,325000.0
138.0,3.0,8840,3.0,349500.0
183.0,4.0,4610,3.0,135000.0
183.0,4.0,4610,3.0,135000.0
131.0,3.0,8840,3.0,175000.0
136.0,3.0,1540,3.0,368000.0
156.0,3.0,2500,3.0,389000.0
120.0,3.0,4100,2.0,250000.0
155.0,3.0,7190,4.0,220000.0
239.0,4.0,2580,4.0,399000.0
216.0,5.0,1470,2.0,340000.0
118.0,3.0,4100,2.0,219000.0
173.0,3.0,4020,3.0,315000.0
231.0,5.0,4000,2.0,297000.0
172.0,4.0,4420,3.0,249000.0
160.0,3.0,2610,2.0,435000.0
120.0,3.0,6870,2.0,165000.0
225.0,5.0,6250,3.0,249900.0
155.0,3.0,7190,4.0,220000.0
190.0,3.0,1340,2.0,360000.0
192.0,5.0,4000,3.0,497470.0
190.0,3.0,3360,4.0,558000.0
358.0,5.0,1970,3.0,895000.0
358.0,5.0,1970,3.0,895000.0
299.0,4.0,1170,2.0,975000.0
130.0,4.0,6200,2.0,185000.0
77.0,2.0,4610,3.0,229000.0
189.0,2.0,4260,3.0,275000.0
150.0,3.0,4051,2.0,149000.0
325.0,5.0,2550,4.0,779500.0
391.0,5.0,7950,2.0,325000.0
175.0,4.0,1800,2.0,399000.0
155.0,3.0,7190,4.0,220000.0
90.0,4.0,4040,2.0,109000.0
107.0,3.0,1150,3.0,475000.0
307.0,4.0,7040,4.0,535000.0
153.0,2.0,7120,4.0,125000.0
161.0,4.0,4840,2.0,299000.0
77.0,2.0,4610,3.0,229000.0
94.0,2.0,7080,2.0,218000.0
183.0,4.0,4610,3.0,135000.0
155.0,3.0,7190,4.0,220000.0
125.0,2.0,9680,4.0,200000.0
155.0,3.0,7190,4.0,220000.0
100.0,2.0,6224,3.0,280000.0
100.0,2.0,4180,3.0,155000.0
183.0,4.0,4610,3.0,135000.0
139.0,2.0,2861,3.0,349000.0
139.0,4.0,4042,3.0,473972.0
162.0,3.0,2940,3.0,355000.0
200.0,3.0,1320,4.0,581000.0
225.0,4.0,6030,3.0,219000.0
128.0,3.0,4100,3.0,436007.0
299.0,4.0,4960,4.0,375000.0
210.0,3.0,1030,2.0,445000.0
155.0,3.0,7190,4.0,220000.0
162.0,4.0,7140,2.0,240000.0
173.0,3.0,7180,4.0,389000.0
155.0,4.0,4100,3.0,225000.0
77.0,2.0,4610,3.0,229000.0
152.0,2.0,6043,4.0,159900.0
100.0,2.0,4040,2.0,149000.0
72.0,2.0,1730,2.0,199000.0
224.0,5.0,4802,2.0,389000.0
159.0,4.0,1730,3.0,329000.0
146.0,3.0,7110,4.0,220000.0
107.0,3.0,1150,3.0,475000.0
325.0,5.0,1180,2.0,1085000.0
77.0,2.0,4610,3.0,229000.0
220.0,4.0,2600,2.0,399000.0
254.0,5.0,1180,3.0,875000.0
173.0,3.0,4020,3.0,315000.0
183.0,4.0,4610,3.0,135000.0
107.0,3.0,1150,3.0,475000.0
173.0,3.0,4020,3.0,315000.0
120.0,3.0,3800,2.0,185000.0
90.0,2.0,2800,2.0,215000.0
207.0,3.0,8000,2.0,459000.0
229.0,2.0,9140,2.0,549000.0
173.0,3.0,4020,3.0,315000.0
183.0,4.0,4610,3.0,135000.0
157.0,3.0,1800,3.0,429000.0
278.0,4.0,5060,4.0,350000.0
160.0,3.0,5190,4.0,649000.0
175.0,5.0,9920,4.0,600000.0
